V1	V2	V3	V4	V5	V6	V7	V8	V9	V10
11.0774087	17.09004502	14.47744872	14.34008504	12.30417709	13.0648024	13.98767384	12.67502751	13.16727864	12.40862931
11.08965483	17.10186593	14.53124062	14.34593797	12.4341971	13.17473237	14.18045523	12.7633917	13.15995498	12.38194097
11.10095048	17.10870935	14.57522761	14.35537269	12.55384692	13.26475238	14.33503752	12.85175588	13.13807404	12.36
11.10707354	17.11	14.63068534	14.37293147	12.69717359	13.35228614	14.47621311	12.94512756	13.1346023	12.31712856
11.1163932	17.1123962	14.69006503	14.38349675	12.85025013	13.45488744	14.59952976	13.03742371	13.1362081	12.27375188
11.12863932	17.11923962	14.73950975	14.38934967	12.97335168	13.55052526	14.72595298	13.11474237	13.12162081	12.22037519
11.13544272	17.12	14.79594797	14.39	13.12975988	13.63721361	14.80809405	13.19678839	13.12648324	12.1669985
11.14313157	17.12292646	14.84833417	14.39316658	13.24974487	13.72107054	14.9193997	13.29067534	13.12622311	12.11181091
11.15537769	17.12976988	14.90728864	14.41072536	13.38597299	13.81634317	14.99391696	13.37669835	13.11892946	12.05024512
11.16381191	17.14322661	14.96096548	14.43104552	13.54573287	13.89278139	15.07164582	13.45401701	13.11163582	11.98373687
11.16993497	17.14654327	15.00771386	14.45445723	13.71208604	13.96246123	15.12806903	13.53133567	13.11	11.92
11.18211606	17.1406003	15.05831916	14.46446723	13.89498749	14.02561281	15.19224612	13.60865433	13.11295148	11.85011506
11.19	17.15428714	15.111996	14.47032016	14.05844922	14.06958479	15.24318659	13.67183592	13.12	11.79673837
11.19	17.16398699	15.15653827	14.47617309	14.18203102	14.14711356	15.31733867	13.73282141	13.12	11.77168084
11.19442721	17.17	15.20934967	14.48607804	14.31146573	14.22921461	15.35094047	13.79909455	13.12483242	11.7749925
11.20055028	17.17	15.23363182	14.50363682	14.43170085	14.30175088	15.37254627	13.86536768	13.13212606	11.8133917
11.20667334	17.17451726	15.29536268	14.51746373	14.55454227	14.35305153	15.42830415	13.93164082	13.13941971	11.85676838
11.2127964	17.18272136	15.33622811	14.52916958	14.63892946	14.41416708	15.46151576	13.99558779	13.14671336	11.91521761
11.21891946	17.1964082	15.37124562	14.53543772	14.77004502	14.48012506	15.48736368	14.05633817	13.16602801	11.96352176
11.22504252	17.20504752	15.41064032	14.54516258	14.90749875	14.54608304	15.56	14.11371686	13.1926013	12.03534767
11.23	17.21189095	15.43428214	14.56857429	15.01443222	14.59825413	15.60230115	14.16894447	13.20718859	12.05027514
11.23	17.21873437	15.46007004	14.585993	15.11428214	14.64955478	15.66654327	14.21975488	13.22766383	12.09817409
11.23341171	17.22	15.50876438	14.59769885	15.18206603	14.7024062	15.70757379	14.26945973	13.24954477	12.10851426
11.23953477	17.22484242	15.54946473	14.6094047	15.27677839	14.76103552	15.7453927	14.32462731	13.27285143	12.1247974
