Date	Time	CongHt
1/26/20	3:15	8.76
1/26/20	3:30	8.74
1/26/20	3:45	8.68
1/26/20	4:00	8.66
1/26/20	4:15	8.63
1/26/20	4:30	8.59
1/26/20	4:45	8.55
1/26/20	5:00	8.53
1/26/20	5:15	8.49
1/26/20	5:30	8.45
1/26/20	5:45	8.42
1/26/20	6:00	8.37
1/26/20	6:15	8.34
1/26/20	6:30	8.3
1/26/20	6:45	8.27
1/26/20	7:00	8.23
1/26/20	7:15	8.19
1/26/20	7:30	8.15
1/26/20	7:45	8.13
1/26/20	8:00	8.09
1/26/20	8:15	8.07
1/26/20	8:30	8.04
1/26/20	8:45	8.02
1/26/20	9:00	8.01
1/26/20	9:15	8.01
1/26/20	9:30	8
1/26/20	9:45	8.01
1/26/20	10:00	8.03
1/26/20	10:15	8.06
1/26/20	10:30	8.11
1/26/20	10:45	8.15
1/26/20	11:00	8.21
1/26/20	11:15	8.28
1/26/20	11:30	8.34
1/26/20	11:45	8.43
1/26/20	12:00	8.52
1/26/20	12:15	8.62
1/26/20	12:30	8.74
1/26/20	12:45	8.84
1/26/20	13:00	8.97
1/26/20	13:15	9.1
1/26/20	13:30	9.21
1/26/20	13:45	9.34
1/26/20	14:00	9.48
1/26/20	14:15	9.62
1/26/20	14:30	9.77
1/26/20	14:45	9.89
1/26/20	15:00	10.04
1/26/20	15:15	10.17
1/26/20	15:30	10.3
1/26/20	15:45	10.43
1/26/20	16:00	10.6
1/26/20	16:15	10.72
1/26/20	16:30	10.85
1/26/20	16:45	10.99
1/26/20	17:00	11.1
1/26/20	17:15	11.25
1/26/20	17:30	11.35
1/26/20	17:45	11.49
1/26/20	18:00	11.58
1/26/20	18:15	11.7
1/26/20	18:30	11.79
1/26/20	18:45	11.86
1/26/20	19:00	11.98
1/26/20	19:15	12.07
1/26/20	19:30	12.14
1/26/20	19:45	12.23
1/26/20	20:00	12.28
1/26/20	20:15	12.36
1/26/20	20:30	12.38
1/26/20	20:45	12.43
1/26/20	21:00	12.47
1/26/20	21:15	12.51
1/26/20	21:30	12.55
1/26/20	21:45	12.56
1/26/20	22:00	12.61
1/26/20	22:15	12.61
1/26/20	22:30	12.62
1/26/20	22:45	12.64
1/26/20	23:00	12.64
1/26/20	23:15	12.63
1/26/20	23:30	12.64
1/26/20	23:45	12.61
1/27/20	0:00	12.61
1/27/20	0:15	12.6
1/27/20	0:30	12.57
1/27/20	0:45	12.56
1/27/20	1:00	12.53
1/27/20	1:15	12.51
1/27/20	1:30	12.48
1/27/20	1:45	12.45
1/27/20	2:00	12.43
1/27/20	2:15	12.39
1/27/20	2:30	12.35
1/27/20	2:45	12.32
1/27/20	3:00	12.27
1/27/20	3:15	12.24
1/27/20	3:30	12.21
1/27/20	3:45	12.18
1/27/20	4:00	12.15
1/27/20	4:15	12.14
1/27/20	4:30	12.08
1/27/20	4:45	12.04
1/27/20	5:00	12.03
1/27/20	5:15	12.02
1/27/20	5:30	11.99
1/27/20	5:45	11.97
1/27/20	6:00	11.96
1/27/20	6:15	11.94
1/27/20	6:30	11.92
1/27/20	6:45	11.92
1/27/20	7:00	11.92
1/27/20	7:15	11.93
1/27/20	7:30	11.95
1/27/20	7:45	11.96
1/27/20	8:00	11.94
1/27/20	8:15	11.96
1/27/20	8:30	11.98
1/27/20	8:45	11.98
1/27/20	9:00	12.01
1/27/20	9:15	12.02
1/27/20	9:30	12.06
1/27/20	9:45	12.05
1/27/20	10:00	12.08
1/27/20	10:15	12.08
1/27/20	10:30	12.11
1/27/20	10:45	12.13
1/27/20	11:00	12.13
1/27/20	11:15	12.15
1/27/20	11:30	12.2
1/27/20	11:45	12.2
1/27/20	12:00	12.23
1/27/20	12:15	12.23
1/27/20	12:30	12.24
1/27/20	12:45	12.27
1/27/20	13:00	12.27
1/27/20	13:15	12.29
1/27/20	13:30	12.32
1/27/20	13:45	12.33
1/27/20	14:00	12.33
1/27/20	14:15	12.36
1/27/20	14:30	12.36
1/27/20	14:45	12.4
1/27/20	15:00	12.4
1/27/20	15:15	12.41
1/27/20	15:30	12.43
1/27/20	15:45	12.44
1/27/20	16:00	12.48
1/27/20	16:15	12.49
1/27/20	16:30	12.53
1/27/20	16:45	12.54
1/27/20	17:00	12.55
